date,game,bet_type,bet_side,market_odds,edge,units_wagered,result,units_profit,cumulative_profit,win_rate
17-Apr,CHA @ ORL,moneyline,ORL ML,130,-1.90%,1,win,1.30,15.07,61%
17-Apr,GSW @ PHX,moneyline,GSW ML,120,4.50%,1,loss,-1.00,,
18-Apr,ATL @ NYK,moneyline,ATL ML,180,22.80%,1,loss,-1.00,,
18-Apr,HOU @ LAL,moneyline,LAL ML,185,6.40%,1,win,1.85,,
19-Apr,PHI @ BOS,spread,BOS -12.5,-110,13.4 pts,1,win,0.91,,
19-Apr,PHX @ OKC,spread,OKC -14.5,-102,16.5 pts,1,win,0.98,,
19-Apr,ORL @ DET,spread,DET -8.5,-110,12.6 pts,1,loss,-1.00,,
19-Apr,POR @ SAS,spread,SAS -11.0,-110,12.4 pts,1,win,0.91,,
20-Apr,TOR @ CLE,spread,CLE -8.5,-110,8.0 pts,1,win,0.91,,
20-Apr,ATL @ NYK,moneyline,ATL ML,185,23.40%,1,win,1.85,,
20-Apr,ATL @ NYK,spread,NYK -5.5,-115,5.5 pts,1,loss,-1.00,,
20-Apr,MIN @ DEN,moneyline,MIN ML,200,5.10%,1,win,2.00,,
20-Apr,MIN @ DEN,spread,DEN -6.5,-110,7.3 pts,1,loss,-1.00,,
21-Apr,PHI @ BOS,spread,BOS -14.5,-110,15.4 pts,1,loss,-1.00,,
21-Apr,POR @ SAS,spread,SAS - 11.5,-114,12.9 pts,1,loss,-1.00,,
21-Apr,HOU @ LAL,totals,OVER 207.5,-110,15.3 pts over,1,loss,-1.00,,
22-Apr,ORL @ DET,spread,DET -9.5,-112,13.6 pts,1,win,0.89,,
22-Apr,PHX @ OKC,spread,OKC -17.5,-110,19.5 pts,1,loss,-1.00,,
23-Apr,CLE @ TOR,moneyline,TOR ML,130,6.50%,1,win,1.30,,
23-Apr,DEN @ MIN,moneyline,DEN ML,-124,3.10%,1,loss,-1.00,,
24-Apr,BOS @ PHI,spread,BOS -7.5,-112,7.9 pts,1,win,0.89,,
24-Apr,LAL @ HOU,totals,OVER 206.5,-105,15.7 pts over,1,win,0.95,,
24-Apr,LAL @ HOU,moneyline,LAL ML,164,12.10%,1,win,1.64,,
25-Apr,DET @ ORL,totals,OVER 213.5,-105,11.5 pts over,1,win,0.95,,
25-Apr,OKC @ PHX,spread,OKC -9.5,-110,8.6 pts ,1,win,0.91,,
25-Apr,DEN @ MIN,moneyline,DEN ML,-124,3.10%,1,loss,-1.00,,
26-Apr,CLE @ TOR,moneyline,TOR ML,140,8.30%,1,win,1.40,,
26-Apr,SAS @ POR,moneyline,POR ML,180,5.80%,1,loss,-1.00,,
26-Apr,BOS @ PHI,spread,BOS -7.5,-106,7.9 pts,1,win,0.94,,
26-Apr,LAL @ HOU,moneyline,LAL ML,154,10.50%,1,loss,-1.00,,
27-Apr,DET @ ORL,totals,OVER 215.5,-108,9.5 pts over,1,loss,-1.00,,
27-Apr,OKC @ PHX,spread,OKC -10.5,-112,9.6 pts,1,loss,-1.00,,
27-Apr,MIN @ DEN,spread,DEN -11.5,-110,12.3 pts,1,win,0.91,,
29-Apr,ORL @ DET,totals,OVER 211.5,-108,12.3 pts over,1,win,0.93,,
29-Apr,TOR @ CLE,spread,CLE -9.5,-105,9.2 pts,1,loss,-1.00,,
29-Apr,HOU @ LAL,moneyline,HOU ML,154,19.10%,1,win,1.54,,
1-May,DET @ ORL,spread,DET -3.5,-118,8.7 pts,1,win,0.85,,
1-May,CLE @ TOR,moneyline,TOR ML,160,11.50%,1,win,1.60,,
1-May,LAL @ HOU,moneyline,LAL ML,136,7.60%,1,win,1.36,,
2-May,PHI @ BOS,moneyline,PHI ML,235,8.50%,1,win,2.35,,
2-May,PHI @ BOS,totals,OVER 205.5,-105,15.4 pts over,1,win,0.95,,
3-May,ORL @ DET,spread,DET -8.5,-105,18.9 pts,1,win,0.95,,
3-May,ORL @ DET,total,OVER 201.5,-108,22.3 pts over,1,win,0.93,,
3-May,TOR @ CLE,moneyline,TOR ML,225,20.10%,1,loss,-1.00,,
3-May,TOR @ CLE,total,OVER 209.5,-112,19.7 pts over,1,win,0.89,,
4-May,PHI @ NYK,moneyline,PHI ML,235,9.0%,1,loss,-1.00,,
4-May,PHI @ NYK,spread,NYK -7.5,-108,7.2 pts,1,win,0.92,,
4-May,MIN @ SAS,spread,SAS -11.5,-105,16.7 pts,1,loss,-1.00,,
5-May,CAV @ DET,spread,DET -3.5,-108,7.5 pts,1,,,,
5-May,CAV @ DET,total,OVER 216.5,-108,9.8 pts over,1,,,,
5-May,LAL @ OKC,spread,OKC -15.5,-108,11.7 pts,1,,,,
